Source Name	Sample Name	Release Date	Characteristics [Organism]	Term Source REF	Term Accession Number	unit	Characteristics [project name]	Term Source REF	Term Accession Number	unit	Characteristics [collection date]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (country and/or sea)]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (latitude)]	Term Source REF	Term Accession Number	unit	Characteristics [geographic location (longitude)]	Term Source REF	Term Accession Number	unit	Characteristics [Depth]	Term Source REF	Term Accession Number	unit	Characteristics [broad-scale environmental context]	Term Source REF	Term Accession Number	unit	Characteristics [local environmental context]	Term Source REF	Term Accession Number	unit	Characteristics [environmental medium]	Term Source REF	Term Accession Number	unit
BIOCEAN5D	CR6	2024-09-08	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	19.1			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000069		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000164		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002170	
BIOCEAN5D	CR8	2024-09-08	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	19.4			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000070		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000165		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002171	
BIOCEAN5D	CR9	2024-09-08	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	19.4			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000071		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000166		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002172	
BIOCEAN5D	CR13	2024-09-08	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	11.6			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000072		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000167		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002173	
BIOCEAN5D	CR14	2024-09-08	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	11.9			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000073		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000168		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002174	
BIOCEAN5D	CR15	2024-09-08	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-08				Spain				42.1146			DD	3.1685			DD	12.5			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000074		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000169		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002175	
BIOCEAN5D	CR18	2024-09-09	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	9.4			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000075		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000170		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002176	
BIOCEAN5D	CR20	2024-09-09	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	9.6			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000076		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000171		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002177	
BIOCEAN5D	CR21	2024-09-09	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_65874		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	9.7			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000077		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000172		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002178	
BIOCEAN5D	CR22	2024-09-09	Chondrosia reniformis	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_68574		Bio5D T2.4.1 Sponge Amplicons				2024-09-09				Spain				42.2849			DD	3.298			DD	5.3			m	ocean biome (ENVO:01000048)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000078		marine reef (ENVO:01000143)	ENVO	http://purl.obolibrary.org/obo/ENVO_01000173		sea water (ENVO:00002149)	ENVO	http://purl.obolibrary.org/obo/ENVO_00002179	
